doi,title,abstract,year,doc_type,authors,affiliations,funders,grant_numbers,journal,source,query_source,is_funder,is_author,is_lead_author,is_sole_author,pc_text_source,pc_classified_by,pc_category,pc_field,pc_rationale
10.1002/1438-390X.1015,Estimating relationships between size and fecundity in the threatened giant garter snake in seminatural and agricultural wetlands,"Increasing numbers of populations of threatened and endangered plants and animals occur in environments altered by human activity. Life history traits may vary among populations in natural and human-dominated environments, and therefore, management strategies may need to be tailored to different environments to promote persistence. The primary objectives of this project were to estimate the probability of being pregnant for females of the threatened giant garter snake (Thamnophis gigas) and test for differences in these demographic parameters between populations in seminatural wetlands and wetlands in areas dominated by rice agriculture. We also hypothesized that the probability of breeding and the number of fetuses would increase with increasing body size, a commonly reported relationship for snakes. We analysed data on T. gigas fecundity from 9 years using a Bayesian hurdle model and found no evidence of variation in the probability of being pregnant or in the number of fetuses given pregnancy for T. gigas in the two environments. The probability of being pregnant in a year was higher for females of larger size and ranged from <0.10 for snakes smaller than 631 mm snout-to-vent length (SVL) to >0.96 for the largest females. Similarly, given that a female was pregnant, the number of fetuses produced was higher for larger females. Pregnant females of average SVL were expected to produce 14 fetuses, and the largest females were expected to produce 34 fetuses. The inferences from our analyses are needed for subsequent population modeling, which will guide planning and decision-making for T. gigas.",2019,Article,Scherer R.D.; Hansen E.C.; Joseph M.; Wack R.F.,"University of Colorado, Boulder; University of California, Davis; Conservation Science Partners; Sacramento Zoo; Consulting Environmental Biologist",Department of Water Resources,,Population Ecology,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,biological and ecological sciences,terrestrial ecology,"This study examines the population biology and demography of the giant garter snake (Thamnophis gigas), a semi-aquatic reptile, focusing on life history traits such as probability of pregnancy and fecundity in relation to body size across different habitat types (seminatural wetlands and agricultural wetlands). The primary research question is about reproductive biology and demographic parameters of a terrestrial/semi-aquatic vertebrate species. Although the species uses wetland habitats, the central focus is on population-level reproductive ecology of a non-fish, non-avian vertebrate, which falls under terrestrial ecology per the taxonomy definition that explicitly includes reptiles and amphibians even when they use wetland or semi-aquatic habitats."
10.1002/2014JD022414,Changes of seasonal storm properties in California and Nevada from an ensemble of climate projections,"Precipitation characteristics, such as intensity, frequency, duration, and event pattern, are changing due to the increases in greenhouse gases, transition of ocean oscillation phases, etc. In this paper, we evaluate the ability of 11 realizations from multiple regional climate model (RCM)/global climate model pairs in the North American Regional Climate Change Assessment Program (NARCCAP) to simulate the seasonal variability and magnitude of storm properties, including storm duration, interstorm period, and storm intensity. The results indicate that NARCCAP RCMs simulate the seasonal variability better in the Greater Sacramento and San Joaquin than in Las Vegas, which may be due to the RCMs’ inability to simulate local convective precipitation associated with the North American Monsoon. We also investigate the impacts of climate change on these storm characteristics by comparing the percentage change and absolute change of storm properties determined from NARCCAP historical runs and future runs. We find that individual RCMs exhibit great uncertainty in the percentage changes in storm duration, interstorm period, and average storm intensity. The ensemble means of storm properties across 11 future NARCCAP RCM projections show different responses to climate change in different locations. Our analyses provide guidelines for selecting the appropriate RCMs for hydrologic studies related to storm properties and provide forecasters and water managers with detailed information of future changes in storm properties so that they can sustainably manage water resources. Our results may also contribute to the nonstationary precipitation scenario development by incorporating the percentage changes of storm properties caused by human-induced warming into the stochastic precipitation model.",2015,Article,Yu Z.; Jiang P.; Gautam M.R.; Zhang Y.; Acharya K.,"Hohai University; University of Nevada, Las Vegas; University of Alabama, Tuscaloosa; Desert Research Institute; California Department of Water Resources",National Science Foundation,1460319,Journal of Geophysical Research,scopus,affiliation,FALSE,TRUE,FALSE,FALSE,title+abstract,llm-full,atmospheric sciences,climatology,"This paper evaluates regional climate model simulations of seasonal storm properties (duration, interstorm period, intensity) and investigates climate change impacts on these properties using NARCCAP projections. The focus is on long-term statistical behavior and future changes in precipitation characteristics due to greenhouse gas increases and ocean oscillations, with evaluation of multi-decadal climate projections. The primary objective is to characterize climate variability and change in storm properties at seasonal and longer timescales, which is the core focus of climatology rather than short-term weather prediction (meteorology) or hydrologic process studies."
10.1002/2015JG003054,"Identifying scale-emergent, nonlinear, asynchronous processes of wetland methane exchange","Methane (CH<inf>4</inf>) exchange in wetlands is complex, involving nonlinear asynchronous processes across diverse time scales. These processes and time scales are poorly characterized at the whole-ecosystem level, yet are crucial for accurate representation of CH<inf>4</inf> exchange in process models. We used a combination of wavelet analysis and information theory to analyze interactions between whole-ecosystem CH<inf>4</inf> flux and biophysical drivers in two restored wetlands of Northern California from hourly to seasonal time scales, explicitly questioning assumptions of linear, synchronous, single-scale analysis. Although seasonal variability in CH<inf>4</inf> exchange was dominantly and synchronously controlled by soil temperature, water table fluctuations, and plant activity were important synchronous and asynchronous controls at shorter time scales that propagated to the seasonal scale. Intermittent, subsurface water table decline promoted short-term pulses of methane emission but ultimately decreased seasonal CH<inf>4</inf> emission through subsequent inhibition after rewetting. Methane efflux also shared information with evapotranspiration from hourly to multiday scales and the strength and timing of hourly and diel interactions suggested the strong importance of internal gas transport in regulating short-term emission. Traditional linear correlation analysis was generally capable of capturing the major diel and seasonal relationships, but mesoscale, asynchronous interactions and nonlinear, cross-scale effects were unresolved yet important for a deeper understanding of methane flux dynamics. We encourage wider use of these methods to aid interpretation and modeling of long-term continuous measurements of trace gas and energy exchange.",2016,Article,Sturtevant C.; Ruddell B.L.; Knox S.H.; Verfaillie J.; Matthes J.H.; Oikawa P.Y.; Baldocchi D.,"Arizona State University; Faculty of Arts and Sciences; University of California, Berkeley",National Science Foundation,7079856,Journal of Geophysical Research Biogeosciences,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,climate change science and adaptation,greenhouse gas management,"This study quantifies whole-ecosystem methane (CH4) exchange in restored wetlands, analyzing biophysical drivers and controls across multiple time scales to understand methane flux dynamics. The primary objective is to characterize and understand methane emissions—a key greenhouse gas—from wetland ecosystems using eddy covariance measurements. While the study examines ecological and hydrological drivers, the central research question is about quantifying and understanding greenhouse gas fluxes, which is the core focus of greenhouse gas management. The paper explicitly discusses implications for process models of CH4 exchange, further supporting classification in this field."
10.1002/2015JG003083,Variation of energy and carbon fluxes from a restored temperate freshwater wetland and implications for carbon market verification protocols,"Temperate freshwater wetlands are among the most productive terrestrial ecosystems, stimulating interest in using restored wetlands as biological carbon sequestration projects for greenhouse gas reduction programs. In this study, we used the eddy covariance technique to measure surface energy carbon fluxes from a constructed, impounded freshwater wetland during two annual periods that were 8 years apart: 2002-2003 and 2010-2011. During 2010-2011, we measured methane (CH<inf>4</inf>) fluxes to quantify the annual atmospheric carbon mass balance and its concomitant influence on global warming potential (GWP). Peak growing season fluxes of latent heat and carbon dioxide (CO<inf>2</inf>) were greater in 2002-2003 compared to 2010-2011. In 2002, the daily net ecosystem exchange reached as low as -10.6 g C m<sup>-2</sup> d<sup>-1</sup>, which was greater than 3 times the magnitude observed in 2010 (-2.9 g C m<sup>-2</sup> d<sup>-1</sup>). CH<inf>4</inf> fluxes during 2010-2011 were positive throughout the year and followed a strong seasonal pattern, ranging from 38.1 mg C m<sup>-2</sup> d<sup>-1</sup> in the winter to 375.9 mg C m<sup>-2</sup> d<sup>-1</sup> during the summer. The results of this study suggest that the wetland had reduced gross ecosystem productivity in 2010-2011, likely due to the increase in dead plant biomass (standing litter) that inhibited the generation of new vegetation growth. In 2010-2011, there was a net positive GWP (675.3 g C m<sup>-2</sup> yr<sup>-1</sup>), and when these values are evaluated as a sustained flux, the wetland will not reach radiative balance even after 500 years.",2016,Article,Anderson F.E.; Bergamaschi B.; Sturtevant C.; Knox S.; Hastings L.; Windham-Myers L.; Detto M.; Hestir E.L.; Drexler J.; Miller R.L.; Matthes J.H.; Verfaillie J.; Baldocchi D.; Snyder R.L.; Fujii R.,"University of California, Davis; North Carolina State University; United States Geological Survey; United States Geological Survey; Smithsonian Institution; University of California, Berkeley; Delta Stewardship Council",U.S. Geological Survey,,Journal of Geophysical Research Biogeosciences,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,climate change science and adaptation,greenhouse gas management,"This study measures surface energy and carbon fluxes (CO2 and CH4) from a restored freshwater wetland using eddy covariance, quantifies the annual atmospheric carbon mass balance, and evaluates global warming potential. The primary research objective is to assess the wetland's carbon sequestration potential and greenhouse gas emissions in the context of biological carbon sequestration projects for greenhouse gas reduction programs. The paper explicitly evaluates implications for carbon market verification protocols and calculates net GWP, making greenhouse gas management the appropriate classification despite the restored wetland setting."
10.1002/2015JG003247,Biophysical controls on interannual variability in ecosystem-scale CO2 and CH4 exchange in a California rice paddy,"We present 6.5 years of eddy covariance measurements of fluxes of methane (F<inf>CH4</inf>) and carbon dioxide (F<inf>CO2</inf>) from a flooded rice paddy in Northern California, USA. A pronounced warming trend throughout the study associated with drought and record high temperatures strongly influenced carbon (C) budgets and provided insights into biophysical controls of F<inf>CO2</inf> and F<inf>CH4</inf>. Wavelet analysis indicated that photosynthesis (gross ecosystem production, GEP) induced the diel pattern in F<inf>CH4</inf>, but soil temperature (T<inf>s</inf>) modulated its amplitude. Forward stepwise linear models and neural networking modeling were used to assess the variables regulating seasonal F<inf>CH4</inf>. As expected due to their competence in modeling nonlinear relationships, neural network models explained considerably more of the variance in daily average F<inf>CH4</inf> than linear models. During the growing season, GEP and water levels typically explained most of the variance in daily average F<inf>CH4</inf>. However, T<inf>s</inf> explained much of the interannual variability in annual and growing season CH<inf>4</inf> sums. Higher T<inf>s</inf> also increased the annual and growing season ratio of F<inf>CH4</inf> to GEP. The observation that the F<inf>CH4</inf> to GEP ratio scales predictably with T<inf>s</inf> may help improve global estimates of F<inf>CH4</inf> from rice agriculture. Additionally, T<inf>s</inf> strongly influenced ecosystem respiration, resulting in large interannual variability in the net C budget at the paddy, emphasizing the need for long-term measurements particularly under changing climatic conditions.",2016,Article,Knox S.H.; Matthes J.H.; Sturtevant C.; Oikawa P.Y.; Verfaillie J.; Baldocchi D.,"Faculty of Arts and Sciences; University of California, Berkeley; National Ecological Observatory Network",National Science Foundation; U.S. Department of Energy; National Institute of Food and Agriculture; Office of Science; U.S. Department of Agriculture; Department of Water Resources,DE-AC02- 05CH11231,Journal of Geophysical Research Biogeosciences,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,climate change science and adaptation,greenhouse gas management,"This paper presents 6.5 years of eddy covariance measurements of CO2 and CH4 fluxes from a rice paddy, examining biophysical controls on carbon budgets and the effects of warming trends on emissions. The central research question is about quantifying greenhouse gas fluxes and understanding how temperature and other factors regulate methane emissions from rice agriculture. The study emphasizes improving global estimates of CH4 from rice agriculture and understanding carbon budgets under changing climatic conditions, which are core concerns of greenhouse gas management."
10.1002/2015WR017394,Simulating California reservoir operation using the classification and regression-tree algorithm combined with a shuffled cross-validation scheme,"The controlled outflows from a reservoir or dam are highly dependent on the decisions made by the reservoir operators, instead of a natural hydrological process. Difference exists between the natural upstream inflows to reservoirs and the controlled outflows from reservoirs that supply the downstream users. With the decision maker's awareness of changing climate, reservoir management requires adaptable means to incorporate more information into decision making, such as water delivery requirement, environmental constraints, dry/wet conditions, etc. In this paper, a robust reservoir outflow simulation model is presented, which incorporates one of the well-developed data-mining models (Classification and Regression Tree) to predict the complicated human-controlled reservoir outflows and extract the reservoir operation patterns. A shuffled cross-validation approach is further implemented to improve CART's predictive performance. An application study of nine major reservoirs in California is carried out. Results produced by the enhanced CART, original CART, and random forest are compared with observation. The statistical measurements show that the enhanced CART and random forest overperform the CART control run in general, and the enhanced CART algorithm gives a better predictive performance over random forest in simulating the peak flows. The results also show that the proposed model is able to consistently and reasonably predict the expert release decisions. Experiments indicate that the release operation in the Oroville Lake is significantly dominated by SWP allocation amount and reservoirs with low elevation are more sensitive to inflow amount than others.",2016,Article,Yang T.; Gao X.; Sorooshian S.; Li X.,"University of California, Los Angeles; Chinese Academy of Sciences",National Science Foundation,2009-1380-01,Water Resources Research,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,computer and information sciences,decision support,"This study develops and applies a data-mining model (Classification and Regression Tree with shuffled cross-validation) to simulate and predict reservoir outflow decisions made by operators. The primary objective is to develop a tool that can predict human-controlled reservoir operations and extract operation patterns to support reservoir management decision-making under changing climate. The focus is on creating a decision support tool and analytical framework rather than studying the hydrology or engineering of reservoirs themselves. The paper emphasizes predictive performance and incorporation of multiple information sources into decision making, which are core elements of decision support."
10.1002/2015WR017952,How well will the Surface Water and Ocean Topography (SWOT) mission observe global reservoirs?,"Accurate observations of global reservoir storage are critical to understand the availability of managed water resources. By enabling estimates of surface water area and height for reservoir sizes exceeding 250 m<sup>2</sup> at a maximum repeat orbit of up to 21 days, the NASA Surface Water and Ocean Topography (SWOT) satellite mission (anticipated launch date 2020) is expected to greatly improve upon existing reservoir monitoring capabilities. It is thus essential that spatial and temporal measurement uncertainty for water bodies is known a priori to maximize the utility of SWOT observations as the data are acquired. In this study, we evaluate SWOT reservoir observations using a three-pronged approach that assesses temporal aliasing, errors due to specific reservoir spatial properties, and SWOT performance over actual reservoirs using a combination of in situ and simulated reservoir observations from the SWOTsim instrument simulator. Results indicate temporal errors to be less than 5% for the smallest reservoir sizes (< 10 km<sup>2</sup>) with errors less than 0.1% for larger sizes (>100 km<sup>2</sup>). Surface area and height errors were found to be minimal (area <5%, height <15 cm) above 1 km<sup>2</sup> unless the reservoir exhibited a strong elliptical shape with high aspect ratio oriented parallel to orbit, was set in mountainous terrain, or swath coverage fell below 30%. Experiments from six real reservoir test cases generally support these results. By providing a comprehensive blueprint on the observability of reservoirs from SWOT, this study will be have important implications for future applications of SWOT reservoir measurements in global monitoring systems and models.",2016,Article,Solander K.C.; Reager J.T.; Famiglietti J.S.,"University of California, Irvine; National Aeronautics and Space Administration; University of California, Los Angeles",National Aeronautics and Space Administration,,Water Resources Research,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,computer and information sciences,data science,"This paper evaluates the observability of global reservoirs from the SWOT satellite mission, assessing temporal aliasing, measurement errors due to spatial properties, and performance over actual reservoirs using a combination of in situ observations and simulated data from the SWOTsim instrument simulator. The primary research question is about characterizing measurement uncertainty and data quality from a satellite observation system across different reservoir sizes and configurations. While the application domain is water resources, the central focus is on data acquisition capabilities, measurement error characterization, and validation of a data collection system, which falls under data science's concern with data quality, validation, and the analytical workflow of extracting value from observational systems."
10.1002/2015WR018547,A hybrid statistical-dynamical framework for meteorological drought prediction: Application to the southwestern United States,"Improving water management in water stressed-regions requires reliable seasonal precipitation predication, which remains a grand challenge. Numerous statistical and dynamical model simulations have been developed for predicting precipitation. However, both types of models offer limited seasonal predictability. This study outlines a hybrid statistical-dynamical modeling framework for predicting seasonal precipitation. The dynamical component relies on the physically based North American Multi-Model Ensemble (NMME) model simulations (99 ensemble members). The statistical component relies on a multivariate Bayesian-based model that relates precipitation to atmosphere-ocean teleconnections (also known as an analog-year statistical model). Here the Pacific Decadal Oscillation (PDO), Multivariate ENSO Index (MEI), and Atlantic Multidecadal Oscillation (AMO) are used in the statistical component. The dynamical and statistical predictions are linked using the so-called Expert Advice algorithm, which offers an ensemble response (as an alternative to the ensemble mean). The latter part leads to the best precipitation prediction based on contributing statistical and dynamical ensembles. It combines the strength of physically based dynamical simulations and the capability of an analog-year model. An application of the framework in the southwestern United States, which has suffered from major droughts over the past decade, improves seasonal precipitation predictions (3–5 month lead time) by 5–60% relative to the NMME simulations. Overall, the hybrid framework performs better in predicting negative precipitation anomalies (10–60% improvement over NMME) than positive precipitation anomalies (5–25% improvement over NMME). The results indicate that the framework would likely improve our ability to predict droughts such as the 2012–2014 event in the western United States that resulted in significant socioeconomic impacts.",2016,Article,Madadgar S.; AghaKouchak A.; Shukla S.; Wood A.W.; Cheng L.; Hsu K.L.; Svoboda M.,"University of Colorado, Boulder; University of California, Santa Barbara; National Center for Atmospheric Research; University of California, Los Angeles; UNKNOWN",National Aeronautics and Space Administration,NNX15AC27G,Water Resources Research,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,atmospheric sciences,meteorology,"This study develops a hybrid statistical-dynamical framework for seasonal precipitation prediction using NMME model simulations and atmosphere-ocean teleconnections (PDO, MEI, AMO). The primary research objective is to improve short-term (3-5 month lead time) precipitation prediction, which falls within the weeks-to-seasonal timescale characteristic of meteorology. While the application is drought prediction and the study uses some climate indices, the core focus is on weather-scale precipitation forecasting using numerical model simulations with data assimilation and ensemble prediction methods, which are canonical meteorological approaches. The prediction timescale and emphasis on operational forecasting place this in meteorology rather than climatology."
10.1002/2015WR018564,"Combining snow, streamflow, and precipitation gauge observations to infer basin-mean precipitation","Precipitation data in mountain basins are typically sparse and subject to uncertainty due to difficulties in measurement and capturing spatial variability. Streamflow provides indirect information about basin-mean precipitation, but inferring precipitation from streamflow requires assumptions about hydrologic model structure that influence precipitation amounts. In this study, we test the extent to which using both snow and streamflow observations reduces differences in inferred annual total precipitation, compared to inference from streamflow alone. The case study area is the upper Tuolumne River basin in the Sierra Nevada of California, where distributed and basin-mean snow water equivalent (SWE) estimates have been made using LiDAR as part of the NASA Airborne Snow Observatory (ASO). To reconstruct basin-mean SWE for years prior to the ASO campaign, we test for a robust relationship between SWE estimates from ASO and from snow courses and pillows, which have a longer record. Relative to ASO's distributed SWE observations, point SWE measurements in this part of the Sierra Nevada tend to overestimate SWE at a given elevation, but undersample high-elevation areas. We then infer precipitation from snow and streamflow, obtained from multiple hydrologic model structures. When included in precipitation inference, snow data reduce by up to one third the standard deviations of the water year total precipitation between model structures and improve the consistency between structures in terms of the yearly variability in precipitation. We reiterate previous findings that multiple types of hydrologic data improve the consistency of modeled physical processes and help identify the most appropriate model structures.",2016,Article,Henn B.; Clark M.P.; Kavetski D.; McGurk B.; Painter T.H.; Lundquist J.D.,"University of Adelaide; National Aeronautics and Space Administration; University of Washington; National Center for Atmospheric Research; University of California, San Diego; McGurk Hydrologic",National Science Foundation; National Aeronautics and Space Administration,1344454,Water Resources Research,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,geological and earth sciences,hydrology,"This study combines snow, streamflow, and precipitation gauge observations to infer basin-mean precipitation in a mountain watershed. The primary research question is about estimating precipitation as a key hydrologic flux and understanding how different data sources (snow water equivalent from ASO LiDAR, streamflow, point measurements) can improve precipitation estimation. While hydrologic models are used as tools, the central objective is to characterize precipitation—a fundamental component of the water cycle—and its spatial distribution in a watershed. This is a core hydrologic question about water balance and precipitation estimation rather than snow physics specifically or engineering design."
10.1002/2016GL069965,Perspectives on the causes of exceptionally low 2015 snowpack in the western United States,"Augmenting previous papers about the exceptional 2011–2015 California drought, we offer new perspectives on the “snow drought” that extended into Oregon in 2014 and Washington in 2015. Over 80% of measurement sites west of 115°W experienced record low snowpack in 2015, and we estimate a return period of 400–1000 years for California's snowpack under the questionable assumption of stationarity. Hydrologic modeling supports the conclusion that 2015 was the most severe on record by a wide margin. Using a crowd-sourced superensemble of regional climate model simulations, we show that both human influence and sea surface temperature (SST) anomalies contributed strongly to the risk of snow drought in Oregon and Washington: the contribution of SST anomalies was about twice that of human influence. By contrast, SSTs and humans appear to have played a smaller role in creating California's snow drought. In all three states, the anthropogenic effect on temperature exacerbated the snow drought.",2016,Article,Mote P.W.; Rupp D.E.; Li S.; Sharp D.J.; Otto F.; Uhe P.F.; Xiao M.; Lettenmaier D.P.; Cullen H.; Allen M.R.,"University of Oxford; University of California, Los Angeles; Oregon State University; University of Oxford; Climate Central",U.S. Environmental Protection Agency; National Oceanic and Atmospheric Administration; Natural Environment Research Council; Sight Research UK,NA10OAR4310218,Geophysical Research Letters,scopus,funder,TRUE,FALSE,FALSE,FALSE,title+abstract,llm-full,atmospheric sciences,climatology,"This paper analyzes the exceptional 2015 snow drought in the western United States, examining its severity in a long-term statistical context (estimating 400-1000 year return period), and using regional climate model simulations to attribute the event to human influence and sea surface temperature anomalies. The primary research objective is to understand the causes of an exceptional climate event and attribute it to long-term climate change and natural variability. The study examines climate attribution, return periods, and the role of anthropogenic warming in creating snow drought conditions, which are core climatology topics focused on climate variability, extremes, and attribution rather than snowpack physics or hydrologic processes themselves."
