category,field,definition
atmospheric sciences,climatology,"Climatology is the scientific study of the long-term statistical behavior of the Earth’s climate system, focusing on patterns, variability, and trends in atmospheric, oceanic, and land-surface conditions over seasonal to multi-decadal and longer timescales, typically using 30-year normals or longer records. It examines variables such as temperature, precipitation, humidity, wind regimes, radiation balance, snow and ice cover, and large-scale circulation, along with interactions among the atmosphere, oceans, cryosphere, land surface, and biosphere. Core topics include climate variability and change, teleconnections, extremes, and attribution, with canonical signals including El Niño–Southern Oscillation, the Pacific Decadal Oscillation, monsoon variability, drought indices, and long-term warming trends. Common data sources include station networks, satellite archives, reanalysis products, paleoclimate proxies such as tree rings and ice cores, and outputs from general circulation models and Earth system models. This field is distinguished from meteorology, which emphasizes short-term atmospheric processes and weather prediction from minutes to weeks, and from hydrology or oceanography, which focus more specifically on water movement or ocean processes rather than the long-term statistics of the coupled climate system."
atmospheric sciences,meteorology,"Meteorology is the scientific study of the atmosphere and the processes that produce weather and short-term atmospheric variability over timescales from minutes to weeks and spatial scales from local convective events to regional and synoptic systems. It examines variables such as air temperature, pressure, humidity, wind, cloud properties, atmospheric stability, and precipitation, with core processes including atmospheric dynamics, thermodynamics, radiation, convection, frontal development, and moisture transport. Typical topics include storms, cyclones, atmospheric rivers, thunderstorms, fog, heat events, boundary-layer processes, and weather forecasting, often using high-frequency observations from weather stations, radiosondes, Doppler radar, satellites, and numerical weather prediction models with data assimilation. Canonical signals include jet streams, pressure systems, fronts, convective available potential energy, and storm classification frameworks such as the Saffir–Simpson scale. This field is distinguished from climatology, which focuses on long-term climate patterns and trends rather than immediate atmospheric conditions, and from atmospheric chemistry or atmospheric physics studies that isolate composition or radiative processes without centering on operational weather dynamics and prediction."
engineering,civil engineering,"Civil engineering is the discipline concerned with the planning, design, construction, operation, and maintenance of infrastructure systems that support human society, including transportation facilities, bridges, buildings, dams, levees, canals, pipelines, stormwater systems, and other components of the built environment. It applies mechanics, materials science, structural analysis, geotechnical principles, hydraulics, and systems engineering to ensure infrastructure safety, durability, efficiency, and resilience across scales ranging from individual structures to regional infrastructure networks and across design lifetimes of decades to centuries. Core activities include load and failure analysis, seismic design, foundation design, drainage and flood-control design, construction methods, and infrastructure performance assessment using methods such as finite element modeling, hydraulic modeling, surveying, and field inspection. This field is distinguished from environmental engineering, which focuses more specifically on pollution control, treatment systems, and environmental protection, and from urban and regional planning, which emphasizes land use, policy, and governance rather than the technical design and behavior of physical infrastructure."
engineering,energy,"Energy is the interdisciplinary field concerned with the production, conversion, transmission, storage, and use of energy across natural and engineered systems, spanning fuel resources, electricity systems, thermal systems, and end-use sectors such as buildings, transportation, industry, and water infrastructure. It studies sources such as fossil fuels, nuclear power, hydropower, solar, wind, geothermal, and bioenergy, along with processes including generation, fuel cycles, grid operation, electrification, storage, and energy efficiency over timescales from real-time balancing to multi-decadal energy transitions and scales from individual devices to regional and national grids. Common data sources and methods include utility and grid data, resource assessments, techno-economic analysis, optimization, scenario modeling, lifecycle assessment, and emissions accounting, with canonical concepts such as capacity factor, levelized cost of energy, load, dispatch, curtailment, and energy return on investment. This field is distinguished from electrical engineering, which focuses more narrowly on circuits, electronics, power hardware, and control systems, and from climate policy or greenhouse gas management, which focus on emissions outcomes and regulatory frameworks rather than the structure and operation of energy systems themselves."
engineering,environmental engineering,"Environmental engineering is the engineering discipline focused on protecting human health and the environment through the design, operation, and evaluation of systems that manage pollution, waste, water quality, air quality, and contaminated media. It commonly addresses drinking water treatment, wastewater treatment, stormwater treatment, solid and hazardous waste, remediation of contaminated soil and groundwater, air emissions control, and engineered solutions for environmental compliance and public health across scales from treatment units and facilities to watersheds and urban systems. Core variables include pollutant concentrations, flow rates, treatment efficiency, pathogen removal, reaction kinetics, mass transport, and exposure pathways, and common methods include process modeling, reactor design, monitoring, risk assessment, and pilot or full-scale system evaluation. Canonical topics include nutrient removal, disinfection, activated sludge, membrane treatment, adsorption, remediation technologies, and fate and transport of contaminants. This field is distinguished from civil engineering, which addresses broader infrastructure design beyond environmental control systems, and from water quality or toxicology, which often study environmental conditions and effects without focusing primarily on engineered treatment and management systems."
engineering,water resource engineering,"Water resource engineering is the branch of engineering concerned with the development, design, operation, and management of systems that store, convey, control, and allocate water for human and environmental purposes, including reservoirs, dams, canals, pipelines, flood-control structures, irrigation systems, urban drainage, and hydropower facilities. It focuses on hydrologic and hydraulic processes such as runoff generation, channel flow, sediment transport, flood routing, water supply reliability, and infrastructure performance across scales from individual structures and reaches to river basins and regional water systems, and from event-scale operations to long-term planning. Common methods include hydrologic and hydraulic modeling, reservoir operations modeling, design storm analysis, flood-frequency analysis, optimization, and field measurements of flow and stage. Canonical topics include flood management, drought planning, water distribution, dam safety, spillway design, conveyance efficiency, and environmental flow implementation. This field is distinguished from hydrology, which studies the movement and storage of water as a natural science, and from civil engineering more broadly, which includes many non-water infrastructure domains."
biological and ecological sciences,aquatic ecology,"Aquatic ecology is the study of organisms, communities, and ecosystem processes in freshwater, estuarine, and marine environments, with emphasis on how physical, chemical, and biological conditions shape the structure and function of aquatic systems across scales from microhabitats to lakes, rivers, wetlands, estuaries, and ocean regions and over timescales from seasons to long-term ecosystem change. It examines species interactions, food webs, primary production, nutrient cycling, habitat use, community composition, and ecosystem responses to flow, temperature, salinity, dissolved oxygen, disturbance, and human alteration. Common data sources and methods include field surveys, benthic and plankton sampling, telemetry, mesocosm experiments, stable isotopes, bioenergetics, and ecosystem modeling. Canonical topics include trophic dynamics, succession, floodplain productivity, habitat connectivity, and responses to invasive species or restoration. This field is distinguished from fisheries biology, which centers more specifically on fish populations and management; from water quality, which focuses on chemical and physical conditions — including eutrophication as a nutrient-loading and impairment process — rather than ecological structure and process; and from aquatic toxicology, which covers harmful algal blooms, cyanotoxins, mercury bioaccumulation, and other contaminant-driven effects on organisms; and from restoration ecology, which should be prioritized when the primary focus of a paper is ecological recovery, succession, or community reassembly at a restored aquatic or wetland site, even when the methods are identical to those used in non-restoration aquatic studies."
biological and ecological sciences,aquatic toxicology,"Aquatic toxicology is the study of the occurrence, fate, bioavailability, and biological effects of contaminants in aquatic organisms and ecosystems, focusing on how chemicals and mixtures affect survival, growth, reproduction, behavior, physiology, and community structure in freshwater, estuarine, and marine environments. It examines stressors such as pesticides, metals, hydrocarbons, pharmaceuticals, endocrine disruptors, and harmful transformation products across scales from molecular and cellular responses to organismal and population-level effects and from acute exposure experiments to chronic field conditions. Common methods include laboratory bioassays, controlled exposure studies, biomarker analysis, tissue residue analysis, toxicity testing, dose-response modeling, and field monitoring of contaminants in water, sediment, and biota. Canonical signals include LC50 and EC50 values, sublethal effects, bioaccumulation, biomagnification, endocrine disruption, and sediment toxicity. Harmful algal blooms (HABs) and cyanobacterial toxins belong in this field, as do mercury methylation and bioaccumulation through aquatic food webs. This field is distinguished from water quality, which focuses on the measurement and management of physical and chemical conditions in water bodies (including eutrophication as a nutrient-loading process), and from aquatic ecology, which studies ecological interactions more broadly rather than contaminant-specific toxic effects."
biological and ecological sciences,avian biology,"Avian biology is the study of birds, including their physiology, behavior, life history, ecology, evolution, movement, and population dynamics across terrestrial, wetland, coastal, and marine environments. It examines processes such as breeding, migration, foraging, energetics, habitat selection, communication, survival, and demography over scales ranging from individuals and nests to flyways and metapopulations and over timescales from daily behavior to multi-generational population change. Common data sources and methods include point counts, nest monitoring, banding and mark-recapture, telemetry and GPS tracking, acoustic monitoring, stable isotopes, and population modeling. Canonical topics include migratory connectivity, reproductive success, stopover ecology, phenology, species distribution, and responses to habitat alteration, climate variability, contaminants, and disturbance. This field is distinguished from terrestrial ecology, which considers broader multi-taxon ecosystem processes, and from fisheries or aquatic ecology, which focus on aquatic organisms and systems rather than birds as the focal taxonomic group."
biological and ecological sciences,fisheries biology,"Fisheries biology is the study of fish populations and the ecological, demographic, and environmental processes that influence their abundance, distribution, life history, productivity, and harvest, whether in marine, estuarine, or freshwater systems. It focuses on fish as managed biological populations, examining recruitment, growth, mortality, migration, spawning, habitat use, stock structure, and responses to exploitation and environmental change across scales from individual fish and local habitats to stocks, metapopulations, and large river or ocean systems. Common methods include population surveys, mark-recapture, otolith or age analysis, telemetry, stock assessment, bioenergetics, habitat modeling, and demographic or life-cycle modeling. Canonical topics include recruitment limitation, escapement, stock-recruit relationships, passage and entrainment, harvest regulation, hatchery effects, and habitat restoration for target species. This field is distinguished from aquatic ecology, which considers broader community and ecosystem processes beyond fish, and from fisheries management or policy work that emphasizes governance, regulation, and allocation rather than fish biology itself. Non-fish aquatic or semi-aquatic vertebrates — including turtles, frogs, salamanders, and water snakes — belong in terrestrial ecology rather than here, even when those species use aquatic habitats as their primary environment."
